2026-08-27: 7 games, 13 probable starters, 0 with a confirmed opposing lineup
declined to price 2 pitcher(s):
    Hayden Wesneski           31/77 appearances are starts — swingman
    Trevor Rogers             no probable starter for STL

78 markets priced   mean |gap| 0.054   median 0.036   mean signed +0.001

  stat player              bet            ours    mkt     gap   +/-  opp  lineup
  outs Spencer Arrighetti  o13.5         0.758  0.505  +0.253 0.005  KC   PROJ
  k    Noah Cameron        o4.5          0.331  0.545  -0.214 0.005  TOR  PROJ
  k    Spencer Arrighetti  o4.5          0.536  0.355  +0.181 0.006  KC   PROJ
  k    Noah Cameron        o5.5          0.174  0.345  -0.171 0.004  TOR  PROJ
  k    Noah Cameron        o3.5          0.543  0.710  -0.167 0.006  TOR  PROJ
  k    Spencer Arrighetti  o5.5          0.347  0.195  +0.152 0.005  KC   PROJ
  k    Spencer Arrighetti  o3.5          0.725  0.585  +0.140 0.005  KC   PROJ
  outs Jake Irvin          o16.5         0.383  0.515  -0.132 0.005  COL  PROJ
  k    Noah Cameron        o6.5          0.075  0.205  -0.130 0.003  TOR  PROJ
  outs Jacob Misiorowski   o17.5         0.498  0.625  -0.127 0.006  NYM  PROJ
  outs Yoshinobu Yamamoto  o18.5         0.519  0.395  +0.124 0.006  ATL  PROJ
  k    Spencer Arrighetti  o2.5          0.875  0.760  +0.115 0.004  KC   PROJ
  k    Noah Cameron        o2.5          0.761  0.865  -0.104 0.005  TOR  PROJ
  k    Spencer Arrighetti  o6.5          0.194  0.105  +0.088 0.004  KC   PROJ
  k    Noah Cameron        o7.5          0.027  0.115  -0.088 0.002  TOR  PROJ
  outs Noah Cameron        o17.5         0.486  0.570  -0.084 0.006  TOR  PROJ
  k    Sean Manaea         o5.5          0.478  0.395  +0.083 0.006  MIL  PROJ
  outs Gerrit Cole         o17.5         0.500  0.580  -0.080 0.006  HOU  PROJ
  k    Jake Irvin          o4.5          0.593  0.515  +0.078 0.005  COL  PROJ
  k    Sean Manaea         o3.5          0.822  0.745  +0.077 0.004  MIL  PROJ
  k    Jake Irvin          o5.5          0.396  0.320  +0.076 0.005  COL  PROJ
  k    Sean Manaea         o4.5          0.668  0.595  +0.073 0.005  MIL  PROJ
  k    Jacob Misiorowski   o9.5          0.298  0.365  -0.067 0.005  NYM  PROJ
  k    Jake Irvin          o3.5          0.764  0.700  +0.064 0.005  COL  PROJ
  k    Spencer Arrighetti  o1.5          0.959  0.895  +0.064 0.002  KC   PROJ
  k    Sean Manaea         o6.5          0.308  0.245  +0.063 0.005  MIL  PROJ
  outs Sean Manaea         o17.5         0.412  0.475  -0.063 0.006  MIL  PROJ
  k    Spencer Arrighetti  o7.5          0.095  0.045  +0.049 0.003  KC   PROJ
  k    Sean Manaea         o7.5          0.174  0.125  +0.049 0.004  MIL  PROJ
  k    Gabriel Hughes      o4.5          0.349  0.300  +0.049 0.005  WSH  PROJ
