  2026-08-25: 15 games, 15 final
  12 fully modelled (both starters on record), 400 draws each

  AGAINST WHAT HAPPENED
  game         sim total  actual      z  sim F5  actF5  P(o8.5)
  KC@TOR            8.27       8  -0.06    4.70      3    0.422
  BAL@STL           9.13      14  +1.18    5.38     13    0.525
  PHI@SEA           8.70       5  -0.87    5.13      2    0.490
  CIN@SF            8.64       4  -1.07    4.87      3    0.492
  PIT@SD            7.60       1  -1.82    4.15      0    0.352
  BOS@MIA           8.09      10  +0.49    4.53      2    0.417
  CLE@LAA           7.37      14  +1.83    4.17     11    0.328
  TB@DET            8.64       5  -0.87    5.13      4    0.485
  TEX@CWS           7.88      18  +2.60    4.27     14    0.388
  LAD@ATL           7.88       7  -0.24    4.30      6    0.400
  MIN@ATH           8.29       6  -0.58    4.50      2    0.445
  CHC@AZ            8.57       9  +0.10    4.87      3    0.480

  full-game total: mean error +0.16 runs, RMSE 4.76, n=12
  F5 total:        mean error +0.58 runs, RMSE 4.59, n=12

  STARTERS — outs and strikeouts against what they did
  pitcher                 simOuts  act   simK  actK
  Seth Lugo                  18.2   15    3.7     5
  Max Scherzer               15.6   15    3.6     4
  Chris Bassitt              15.4   20    3.2     5
  Matthew Liberatore         16.4   12    6.0     7
  Aaron Nola                 15.9   18    5.3     7
  George Kirby               18.1   23    4.5     9
  Brady Singer               16.5   17    4.3     5
  Adrian Houser              16.6    5    4.5     2
  Paul Skenes                16.5   18    6.0     4
  Michael King               17.9   21    5.1     7
  Payton Tolle               17.4   16    5.5     7
  Tyler Phillips             15.8   14    4.3     7
  Gavin Williams             17.5    4    8.0     3
  Walbert Ureña              16.8   11    4.6     3
  Casey Legumina             16.8    7    4.2     2
  Jackson Jobe               16.4   13    3.9     4
  Jacob deGrom               17.1   11    7.3     2
  Anthony Kay                16.5   14    4.9     4
  Tyler Glasnow              17.0   15    7.1     7
  Bryce Elder                17.9   18    4.7     5
  Taj Bradley                17.3   20    5.8    11
  Gage Jump                  16.9   19    5.0     9
  Clay Holmes                17.5   21    3.8     5
  Brandon Pfaadt             17.9   20    4.7     3

  starter outs: mean error -1.63, RMSE 5.12, n=24
  starter K:    mean error +0.29, RMSE 2.60

  AGAINST KALSHI'S CLOSE
  series           line    ours   close   won   ourBr   mktBr
  f5 total          6.5   0.233   0.170 False   0.054   0.029
  f5 total          5.5   0.333   0.270 False   0.111   0.073
  f5 total          4.5   0.450   0.370 False   0.203   0.137
  f5 total          3.5   0.595   0.490 False   0.354   0.240
  f5 total          2.5   0.713   0.670 False   0.508   0.449
  f5 total          1.5   0.833   0.840  True   0.028   0.026
  f5 total          0.5   0.930   0.930  True   0.005   0.005
  f5 total          5.5   0.427   0.390  True   0.328   0.372
  f5 total          4.5   0.545   0.480  True   0.207   0.270
  f5 total          3.5   0.693   0.620  True   0.095   0.144
  f5 total          2.5   0.818   0.760  True   0.033   0.058
  f5 total          0.5   0.968   0.940  True   0.001   0.004
  f5 total          5.5   0.378   0.340 False   0.143   0.116
  f5 total          4.5   0.470   0.470 False   0.221   0.221
  f5 total          3.5   0.593   0.600 False   0.351   0.360
  f5 total          1.5   0.855   0.870  True   0.021   0.017
  f5 total          6.5   0.193   0.170 False   0.037   0.029
  f5 total          5.5   0.270   0.260 False   0.073   0.068
  f5 total          4.5   0.378   0.370 False   0.143   0.137
  f5 total          3.5   0.507   0.520 False   0.258   0.270
  f5 total          2.5   0.672   0.670 False   0.452   0.449
  f5 total          1.5   0.833   0.810 False   0.693   0.656
  f5 total          0.5   0.930   0.920 False   0.865   0.846
  f5 total          5.5   0.398   0.330 False   0.158   0.109
  f5 total          4.5   0.520   0.440 False   0.270   0.194
  f5 total          3.5   0.652   0.600 False   0.426   0.360
  f5 total          2.5   0.790   0.740 False   0.624   0.548
  f5 total          1.5   0.885   0.870  True   0.013   0.017
  f5 total          0.5   0.950   0.960  True   0.003   0.002
  f5 total          5.5   0.325   0.470 False   0.106   0.221
  f5 total          4.5   0.443   0.590 False   0.196   0.348
  f5 total          2.5   0.693   0.820 False   0.480   0.672
  f5 total          1.5   0.840   0.880  True   0.026   0.014
  f5 total          0.5   0.960   0.970  True   0.002   0.001
  f5 total          6.5   0.282   0.250 False   0.080   0.062
  f5 total          5.5   0.385   0.340 False   0.148   0.116
  f5 total          4.5   0.490   0.460 False   0.240   0.212
  f5 total          3.5   0.600   0.590 False   0.360   0.348
  f5 total          2.5   0.740   0.730  True   0.068   0.073
  f5 total          1.5   0.885   0.850  True   0.013   0.023
  f5 total          0.5   0.945   0.950  True   0.003   0.003
  f5 total          6.5   0.188   0.170  True   0.660   0.689
  f5 total          5.5   0.285   0.250  True   0.511   0.562
  f5 total          4.5   0.378   0.350  True   0.388   0.423
  f5 total          3.5   0.537   0.490  True   0.214   0.260
  f5 total          2.5   0.680   0.640  True   0.102   0.130
